238,00:29:32.040 07/13/2019,2061:520190.040,3.89,12.74,-2453638.590,-4767182.620
239,00:29:34.000 07/13/2019,2061:520190.460,3.61,3.63,-2453637.920,-4767181.870
240,00:29:32.820 07/13/2019,2061:520190.820,3.74,355.60,-2453637.550,-4767181.170
241,00:29:33.180 07/13/2019,2061:520191.180,3.83,348.22,-2453637.300,-4767180.330
242,00:29:35.000 07/13/2019,2061:520191.540,3.91,341.67,-2453637.260,-4767179.430
243,00:29:33.900 07/13/2019,2061:520191.900,3.93,338.86,-2453637.300,-4767178.570
244,00:29:34.320 07/13/2019,2061:520192.320,3.75,338.07,-2453637.390,-4767177.570
245,00:29:36.000 07/13/2019,2061:520192.680,3.52,338.91,-2453637.450,-4767176.770
246,00:29:35.100 07/13/2019,2061:520193.100,3.28,340.24,-2453637.500,-4767175.860
247,00:29:35.520 07/13/2019,2061:520193.520,3.05,341.57,-2453637.520,-4767175.010
248,00:29:35.880 07/13/2019,2061:520193.880,2.87,342.78,-2453637.520,-4767174.310
249,00:29:36.300 07/13/2019,2061:520194.300,2.63,344.17,-2453637.480,-4767173.570
250,00:29:36.660 07/13/2019,2061:520194.660,2.30,345.05,-2453637.440,-4767173.010
251,00:29:37.380 07/13/2019,2061:520195.380,1.44,346.39,-2453637.340,-4767172.160
252,00:29:37.740 07/13/2019,2061:520195.740,1.08,346.83,-2453637.300,-4767171.860
253,00:29:38.100 07/13/2019,2061:520196.100,0.71,347.10,-2453637.260,-4767171.650
254,00:29:38.520 07/13/2019,2061:520196.520,0.35,347.29,-2453637.230,-4767171.510
255,00:29:38.880 07/13/2019,2061:520196.880,0.11,347.36,-2453637.210,-4767171.440
